Yeargroup,StudentRef,Proposed Major,High School,Exam Type,Exam Year,Exam Month,Elective Subjects,Total Aggregate,Other,Social Studies,English Language,Mathematics,Integrated Science,Elective Math,Further Mathematics,Marketing,Biology,Chemistry,Physics,Economics,Info. & Comm. Technology,Geography,Financial Accounting,Principles of Cost Acct.,French,Foods And Nutrition,Agric. Science ,Technical Drawing,Applied Electricity,Business Management,Government,Christian Rel Stud,Basic Electricity,Computer Studies,Civic Education,Dyeing & Bleaching,Book Keeping,History,Lit In English,Music,Ceramics,Gen Know In Art,Graphic Design,Tourism,Clothing & Textiles,Fante,Data Processing,Commerce,Mgt in Living,Jewellery,Catering Craft Practice,Photography,Picture Making ,Sculpture,Auto WASSCE Ashesi Math Placement,Ashesi Actual Math Placement,Leatherwork,GA,Fisheries,Islamic Studies,Twi (Akuapem),Mgt In Living,Gen Know. In Art,General Agric,Animal Husbandry,General Mathematics,Integrated Science/Science,Building Const,Woodwork,Twi/Asante
2023,S7047a4e6df5e8cf5,[B.Sc.] Business Administration,Sch606,WASSCE,2019,May/June,"Economics, French, Foods & Nutrition, Mgt in Living",11,,A1,B2,B3,,,,,,,,B3,,,,,A1,A1,,,,,,,,,,,,,,,,,,,,,,,A1,,,,,,,,,,,,,,,,,,,,,
2023,S5e71a2543b6dae93,[B.Sc.] Business Administration,Sch457,WASSCE,2018,Nov/Dec ,"Business Mgt., Financial Accounting, Economics, Elect. Math",9,,B2,C4,A1,A1,A1,,,,,,A1,,,A1,,,,,,,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S1b0f4121c3b0de8a,[B.Sc.] Computer Engineering,Sch585,WASSCE,2018,Nov/Dec ,"Elective Maths, Biology, Chemistry, Physics",7,,A1,A1,A1,A1,A1,,,B2,B2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Sd8609988972b7669,[B.Sc.] Business Administration,Sch606,WASSCE,2019,May/June,"Economics, Geography, Lit-In-English, French",7,,A1,A1,A1,B2,,,,,,,A1,,A1,,,A1,,,,,,,,,,,,,,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S81023cf42ee1bcb8,[B.Sc.] Computer Engineering,Sch606,WASSCE,2019,May/June,"Elective Maths, Biology, Chemistry, Physics",10,,A1,B2,A1,A1,A1,,,B2,B3,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S375c1677b8eb6bd0,[B.Sc.] Electrical and Electronic Engineering,Sch567,WASSCE,2018,May/June,"Elective Maths, Biology, Chemistry, Physics",8,,A1,B2,A1,A1,A1,,,B3,B2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Sad776d9c48edd545,[B.Sc.] Mechanical Engineering,Sch561,WASSCE,2016,May/June,"Elective Maths, Biology, Chemistry, Physics",10,,A1,C4,A1,A1,A1,,,B3,A1,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S1a8b4ded2efcbc68,[B.Sc.] Business Administration,Sch606,WASSCE,2017/2018,May/June,"Christian Rel Stud, History, Lit-In-English, French",16,,B3,B2,C6,C4,,,,,,,,,,,,A1,,,,,,,B2,,,,,,A1,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S66b9553dac3f9c25,[B.Sc.] Mechanical Engineering,Sch492,WASSCE,2017,May/June,"Elective Math, Biology, Chemistry, Physics",9,,B2,B2,A1,A1,A1,,,B2,A1,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Sc4a8fa5619973f45,[B.Sc.] Business Administration,Sch576,WASSCE,2019,May/June,"Economics, Geography, French, Elective Maths",9,,A1,B3,A1,B2,C4,,,,,,A1,,A1,,,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S38e002b10a4c14d3,[B.Sc.] Computer Science,Sch507,WASSCE,2018,May/June,"Elective Maths, Biology, Chemistry, Physics",13,,A1,B2,A1,B2,B2,,,B2,C5,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,S8e3359f1c5ff8a19,[B.Sc.] Computer Science,Sch455,WASSCE,2019,May/June,"Elective Maths, Biology, Chemistry, Physics",11,,B2,B3,A1,A1,B2,,,B3,B2,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
